# eSIM Access coverage, read from the partner console on 14 September 2026.
# Account: Naveed Saqib. Source: the Region filter on console.esimaccess.com/partner-dataplan/index,
# which is populated from the same list the plan table filters against.
#
# 199 single country or territory entries, and 36 regional or global bundles.
# The plan table reported 305 pages at ten rows a page on the same visit, so
# roughly three thousand packages sit behind these regions.
#
# This file is coverage, not price. It says where eSIM Access can sell. What
# Bilby can sell is whatever is active in catalog_prices, which is a much
# shorter list and is the only thing the site is allowed to quote a price for.
#
kind,name
country,"Afghanistan"
country,"Aland Islands"
country,"Albania"
country,"Algeria"
country,"Andorra"
country,"Angola"
country,"Anguilla"
country,"Antigua and Barbuda"
country,"Argentina"
country,"Armenia"
country,"Aruba"
country,"Australia"
country,"Austria"
country,"Azerbaijan"
country,"Bahamas"
country,"Bahrain"
country,"Bangladesh"
country,"Barbados"
country,"Belarus"
country,"Belgium"
country,"Belize"
country,"Benin"
country,"Bermuda"
country,"Bhutan"
country,"Bolivia"
country,"Bonaire"
country,"Bosnia and Herzegovina"
country,"Botswana"
country,"Brazil"
country,"Brunei Darussalam"
country,"Bulgaria"
country,"Burkina Faso"
country,"Cambodia"
country,"Cameroon"
country,"Canada"
country,"Cape Verde"
country,"Cayman Islands"
country,"Central African Republic"
country,"Chad"
country,"Chile"
country,"China mainland"
country,"Colombia"
country,"Costa Rica"
country,"Cote d'Ivoire"
country,"Croatia"
country,"Curacao"
country,"Cyprus"
country,"Czech Republic"
country,"Democratic Republic of the Congo"
country,"Denmark"
country,"Dominica"
country,"Dominican Republic"
country,"Ecuador"
country,"Egypt"
country,"El Salvador"
country,"Estonia"
country,"Eswatini"
country,"Ethiopia"
country,"Faroe Islands"
country,"Fiji"
country,"Finland"
country,"France"
country,"French Guiana"
country,"French Polynesia"
country,"Gabon"
country,"Gambia"
country,"Georgia"
country,"Germany"
country,"Ghana"
country,"Gibraltar"
country,"Greece"
country,"Greenland"
country,"Grenada"
country,"Guadeloupe"
country,"Guam"
country,"Guatemala"
country,"Guernsey"
country,"Guinea"
country,"Guinea-Bissau"
country,"Guyana"
country,"Haiti"
country,"Honduras"
country,"Hong Kong (China)"
country,"Hungary"
country,"Iceland"
country,"India"
country,"Indonesia"
country,"Iraq"
country,"Ireland"
country,"Isle of Man"
country,"Israel"
country,"Italy"
country,"Jamaica"
country,"Japan"
country,"Jersey"
country,"Jordan"
country,"Kazakhstan"
country,"Kenya"
country,"Kosovo"
country,"Kuwait"
country,"Kyrgyzstan"
country,"Laos"
country,"Latvia"
country,"Liberia"
country,"Libya"
country,"Liechtenstein"
country,"Lithuania"
country,"Luxembourg"
country,"Macao (China)"
country,"Madagascar"
country,"Malawi"
country,"Malaysia"
country,"Maldives"
country,"Mali"
country,"Malta"
country,"Martinique"
country,"Mauritania"
country,"Mauritius"
country,"Mayotte"
country,"Mexico"
country,"Moldova"
country,"Monaco"
country,"Mongolia"
country,"Montenegro"
country,"Montserrat"
country,"Morocco"
country,"Mozambique"
country,"Nauru"
country,"Nepal"
country,"Netherlands"
country,"Netherlands Antilles"
country,"New Zealand"
country,"Nicaragua"
country,"Niger"
country,"Nigeria"
country,"North Macedonia"
country,"Norway"
country,"Oman"
country,"Pakistan"
country,"Panama"
country,"Papua New Guinea"
country,"Paraguay"
country,"Peru"
country,"Philippines"
country,"Poland"
country,"Portugal"
country,"Puerto Rico"
country,"Qatar"
country,"Republic of the Congo"
country,"Reunion"
country,"Romania"
country,"Russia"
country,"Rwanda"
country,"Saint Barthelemy"
country,"Saint Kitts and Nevis"
country,"Saint Lucia"
country,"Saint Martin"
country,"Saint Vincent and the Grenadines"
country,"Samoa"
country,"San Marino"
country,"Saudi Arabia"
country,"Senegal"
country,"Serbia"
country,"Seychelles"
country,"Sierra Leone"
country,"Singapore"
country,"Slovakia"
country,"Slovenia"
country,"South Africa"
country,"South Korea"
country,"Spain"
country,"Sri Lanka"
country,"Sudan"
country,"Suriname"
country,"Sweden"
country,"Switzerland"
country,"Taiwan (China)"
country,"Tajikistan"
country,"Tanzania"
country,"Thailand"
country,"Tonga"
country,"Trinidad and Tobago"
country,"Tunisia"
country,"Turkey"
country,"Turks and Caicos Islands"
country,"Uganda"
country,"Ukraine"
country,"United Arab Emirates"
country,"United Kingdom"
country,"United States"
country,"Uruguay"
country,"Uzbekistan"
country,"Vanuatu"
country,"Vatican City"
country,"Venezuela"
country,"Vietnam"
country,"Virgin Islands- British"
country,"Zambia"
country,"Zimbabwe"
group,"Africa (25+ areas)"
group,"Asia (12 areas)"
group,"Asia (20 areas)"
group,"Asia (20+ areas)"
group,"Asia (7 areas)"
group,"AUKUS (3 countries)"
group,"Australia & New Zealand"
group,"Balkans (5+ areas)"
group,"Caribbean (20+ areas)"
group,"Central Asia"
group,"Central Asia (4 areas)"
group,"China (mainland & HK)"
group,"China (mainland HK Macao)"
group,"China mainland & Japan & South Korea"
group,"Europe (30+ areas)"
group,"Europe (31 areas)"
group,"Europe (33 areas)"
group,"Europe (35 areas)"
group,"Europe (40+ areas)"
group,"Europe (40+ areas) & Morocco"
group,"GCC (6 areas)"
group,"Global (120+ areas)"
group,"Global (130+ areas)"
group,"Gulf Region"
group,"Ireland & Slovenia"
group,"Ireland & UK"
group,"Japan & South Korea"
group,"Middle East"
group,"Middle East & North Africa"
group,"North America (3 areas)"
group,"Singapore & Malaysia"
group,"Singapore & Malaysia & Thailand"
group,"Singapore & Malaysia & Vietnam & Thailand & Indonesia"
group,"South America (15+ areas)"
group,"South America (6 areas)"
group,"USA & Canada"
